¿œ¿⁄,PM-10
2020-08-22,44
2020-08-23,39
2020-08-24,37
2020-08-25,40
2020-08-26,32
2020-08-27,31
2020-08-28,19
2020-08-29,19
2020-08-30,21
2020-08-31,20
2020-09-01,27
2020-09-02,18
2020-09-03,27
2020-09-04,58
2020-09-05,47
2020-09-06,18
2020-09-07,17
2020-09-08,71
2020-09-09,47
2020-09-10,33
2020-09-11,38
2020-09-12,12
2020-09-13,20
2020-09-14,29
2020-09-15,31
2020-09-16,24
2020-09-17,31
2020-09-18,32
2020-09-19,30
2020-09-20,29
2020-09-21,34
2020-09-22,26
2020-09-23,17
2020-09-24,24
2020-09-25,
2020-09-26,
2020-09-27,
2020-09-28,
2020-09-29,
2020-09-30,34
2020-10-01,28
2020-10-02,27
2020-10-03,29
2020-10-04,31
2020-10-05,30
2020-10-06,27
2020-10-07,26
2020-10-08,26
2020-10-09,30
2020-10-10,31
2020-10-11,32
2020-10-12,39
2020-10-13,29
2020-10-14,36
2020-10-15,32
2020-10-16,38
2020-10-17,37
2020-10-18,35
2020-10-19,40
2020-10-20,49
2020-10-21,44
2020-10-22,44
2020-10-23,27
2020-10-24,25
2020-10-25,35
2020-10-26,41
2020-10-27,54
2020-10-28,87
2020-10-29,41
2020-10-30,40
2020-10-31,34
2020-11-01,38
2020-11-02,59
2020-11-03,34
2020-11-04,30
2020-11-05,44
2020-11-06,47
2020-11-07,55
2020-11-08,63
2020-11-09,33
2020-11-10,36
2020-11-11,45
2020-11-12,46
2020-11-13,58
2020-11-14,67
2020-11-15,45
2020-11-16,63
2020-11-17,75
2020-11-18,55
2020-11-19,14
2020-11-20,21
2020-11-21,30
2020-11-22,26
2020-11-23,25
2020-11-24,37
2020-11-25,35
2020-11-26,56
2020-11-27,45
2020-11-28,16
2020-11-29,15
2020-11-30,19
2020-12-01,26
2020-12-02,26
2020-12-03,24
2020-12-04,18
2020-12-05,26
2020-12-06,34
2020-12-07,47
2020-12-08,29
2020-12-09,30
2020-12-10,40
2020-12-11,42
2020-12-12,41
2020-12-13,37
2020-12-14,10
2020-12-15,13
2020-12-16,14
2020-12-17,14
2020-12-18,26
2020-12-19,12
2020-12-20,14
2020-12-21,37
2020-12-22,55
2020-12-23,76
2020-12-24,59
2020-12-25,16
2020-12-26,36
2020-12-27,40
2020-12-28,27
2020-12-29,26
2020-12-30,9
2020-12-31,11
2021-01-01,18
2021-01-02,30
2021-01-03,25
2021-01-04,42
2021-01-05,33
2021-01-06,14
2021-01-07,13
2021-01-08,11
2021-01-09,14
2021-01-10,20
2021-01-11,27
2021-01-12,38
2021-01-13,79
2021-01-14,82
2021-01-15,57
2021-01-16,61
2021-01-17,10
2021-01-18,37
2021-01-19,23
2021-01-20,34
2021-01-21,30
2021-01-22,32
2021-01-23,23
2021-01-24,11
2021-01-25,21
2021-01-26,11
